r	c
0.0	0.0
0.01	0.00022920517241379308
0.02	0.000883751724137931
0.03	0.0025175344827586205
0.04	0.005101241379310344
0.05	0.009819172413793103
0.06	0.018738965517241378
0.07	0.03745637931034483
0.08	0.05847137931034482
0.09	0.06589620689655172
0.1	0.06932120689655172
0.11	0.06794172413793102
0.12	0.06582620689655172
0.13	0.06703413793103448
0.14	0.05662999999999999
0.15	0.040180172413793104
0.16	0.037029310344827586
0.17	0.03740827586206896
0.18	0.03933758620689655
0.19	0.041577068965517244
0.2	0.04387793103448276
0.21	0.046258103448275856
0.22	0.04846396551724137
0.23	0.050344310344827586
0.24	0.05209793103448276
0.25	0.05376844827586207
0.26	0.05534275862068965
0.27	0.05684465517241379
0.28	0.058457413793103444
0.29	0.060227931034482755
0.3	0.06208948275862069
0.31	0.06399827586206897
0.32	0.06602241379310345
0.33	0.06818758620689655
0.34	0.07034758620689655
0.35	0.07269172413793104
0.36	0.07511206896551724
0.37	0.07783775862068965
0.38	0.08065879310344828
0.39	0.08339465517241379
0.4	0.08595258620689655
0.41	0.08811706896551723
0.42	0.09031431034482758
0.43	0.09270172413793103
0.44	0.09525344827586206
0.45	0.09787879310344827
0.46	0.10046155172413793
0.47	0.1026303448275862
0.48	0.10465758620689654
0.49	0.10646258620689655
0.5	0.10778827586206896
0.51	0.10867431034482758
0.52	0.10926275862068965
0.53	0.10948465517241379
0.54	0.10946706896551724
0.55	0.10905379310344827
0.56	0.10840293103448274
0.57	0.10732224137931033
0.58	0.10591775862068965
0.59	0.10439810344827585
0.6	0.1028906896551724
0.61	0.10115948275862069
0.62	0.09932086206896551
0.63	0.09742793103448276
0.64	0.0955301724137931
0.65	0.09360724137931034
0.66	0.09179241379310345
0.67	0.09013224137931035
0.68	0.08857068965517241
0.69	0.08713965517241379
0.7	0.08568724137931034
0.71	0.08432086206896551
0.72	0.08309896551724139
0.73	0.08202275862068965
0.74	0.08119327586206897
0.75	0.08036913793103448
0.76	0.07950810344827586
0.77	0.07878672413793103
0.78	0.07820189655172413
0.79	0.07763258620689654
0.8	0.07709241379310344
0.81	0.07665879310344827
0.82	0.07633310344827586
0.83	0.07609293103448275
0.84	0.07576431034482758
0.85	0.07534603448275862
0.86	0.07507672413793104
0.87	0.0749153448275862
0.88	0.0746753448275862
0.89	0.0743646551724138
0.9	0.07388396551724137
0.91	0.07319775862068965
0.92	0.07254310344827586
0.93	0.07183086206896552
0.94	0.07078689655172413
0.95	0.06959172413793104
0.96	0.06822620689655172
0.97	0.06685568965517241
0.98	0.06568327586206896
0.99	0.06459275862068965
1.0	0.06348689655172413
