r	c
0.0	0.0
0.05	0.04897659799260433
0.1	0.1534241944004226
0.15	0.25502165874273636
0.2	0.3286677231907026
0.25	0.38259323824617003
0.3	0.4274263074484944
0.35	0.4746011621764395
0.4	0.5193824617010037
0.45	0.5584627575277337
0.5	0.593998943475964
0.55	0.6275435816164817
0.6	0.6576439513998943
0.65	0.6787955625990492
0.7	0.6892868462757528
0.75	0.6880876914949814
0.8	0.679619651347068
0.85	0.6635763338615953
0.9	0.6412625462229266
0.95	0.620390913893291
1.0	0.5927047015319598
1.05	0.5638563127311146
1.1	0.538135235076598
1.15	0.5140596936080295
1.2	0.48814685684099307
1.25	0.46048071843634436
1.3	0.4352308505018489
1.35	0.4115372424722662
1.4	0.3872208135235076
1.45	0.3634368726888536
1.5	0.34040676175382983
1.55	0.31813100898045427
1.6	0.29772107765451666
1.65	0.2769249867934495
1.7	0.25788166930797674
1.75	0.2402942419440042
1.8	0.22223296354992075
1.85	0.20399947173798202
1.9	0.18941574220813523
1.95	0.17473534072900157
2.0	0.16003063919704172
