r	c
0.0	0.0
0.01	0.09966486486486485
0.02	0.40109144144144143
0.03	0.9056846846846848
0.04	1.6569234234234234
0.05	2.700243243243243
0.06	4.113166666666667
0.07	5.918873873873874
0.08	7.865315315315315
0.09	9.547567567567567
0.1	10.534234234234233
0.11	10.822252252252252
0.12	10.725225225225225
0.13	9.891891891891891
0.14	8.292072072072072
0.15	6.19990990990991
0.16	3.97340990990991
0.17	2.17536036036036
0.18	0.9647117117117117
0.19	0.3593716216216216
0.2	0.08149729729729731
0.21	0.01523981981981982
0.22	0.005034774774774775
0.23	0.002892828828828829
0.24	0.0019385855855855857
0.25	0.0014127297297297297
0.26	0.0011076126126126126
0.27	0.0009198558558558558
0.28	0.0008059864864864865
0.29	0.0007375720720720721
0.3	0.0006987027027027027
0.31	0.0006844099099099099
0.32	0.0006887612612612613
0.33	0.0007125630630630631
0.34	0.0007583873873873875
0.35	0.0008436351351351352
0.36	0.00101890990990991
0.37	0.0013776126126126126
0.38	0.002117436936936937
0.39	0.0031896306306306308
0.4	0.0047106306306306306
0.41	0.006516801801801802
0.42	0.008592747747747747
0.43	0.010817387387387387
0.44	0.013205495495495496
0.45	0.015547252252252253
0.46	0.01799274774774775
0.47	0.020194234234234235
0.48	0.02230081081081081
0.49	0.024292522522522522
0.5	0.02589698198198198
0.51	0.02714243243243243
0.52	0.0280890990990991
0.53	0.028645675675675678
0.54	0.028811666666666666
0.55	0.02845292792792793
0.56	0.02782
0.57	0.026801216216216214
0.58	0.025637387387387387
0.59	0.024356486486486487
0.6	0.02296774774774775
0.61	0.02165981981981982
0.62	0.020334864864864865
0.63	0.019176306306306304
0.64	0.018104414414414415
0.65	0.017099324324324323
0.66	0.016298153153153153
0.67	0.01556563063063063
0.68	0.014901396396396397
0.69	0.014386891891891893
0.7	0.013962342342342343
0.71	0.013558288288288287
0.72	0.013186891891891893
0.73	0.012857432432432434
0.74	0.012477477477477478
0.75	0.01208454954954955
0.76	0.011675585585585586
0.77	0.01122810810810811
0.78	0.010753738738738739
0.79	0.010295270270270272
0.8	0.00985009009009009
0.81	0.009412747747747748
0.82	0.008987432432432432
0.83	0.008642522522522521
0.84	0.008314324324324324
0.85	0.008002522522522522
0.86	0.007705675675675676
0.87	0.007474459459459459
0.88	0.00730045045045045
0.89	0.007114009009009009
0.9	0.006913693693693694
0.91	0.006676126126126126
0.92	0.006428873873873874
0.93	0.006210675675675676
0.94	0.006019954954954955
0.95	0.005830630630630631
0.96	0.0056478378378378375
0.97	0.005469189189189189
0.98	0.005312117117117117
0.99	0.00517936936936937
1.0	0.0050450450450450456
