r	c
0.0	0.0
0.05	0.03406910755148741
0.1	0.1069695652173913
0.15	0.17594347826086956
0.2	0.22499176201372997
0.25	0.26521510297482837
0.3	0.29729977116704803
0.35	0.3285858123569794
0.4	0.37148512585812354
0.45	0.4064645308924485
0.5	0.4139221967963386
0.55	0.4048649885583524
0.6	0.3885102974828375
0.65	0.3710732265446224
0.7	0.35357437070938214
0.75	0.3371762013729977
0.8	0.3236521739130435
0.85	0.3112265446224256
0.9	0.3018924485125858
0.95	0.29511441647597253
1.0	0.29109610983981693
1.05	0.2897391304347826
1.1	0.29002059496567506
1.15	0.2904187643020595
1.2	0.28796109839816936
1.25	0.2844302059496568
1.3	0.27952173913043477
1.35	0.27458581235697943
1.4	0.2688466819221968
1.45	0.2616773455377574
1.5	0.25334096109839815
1.55	0.24480320366132724
1.6	0.2372974828375286
1.65	0.22937757437070938
1.7	0.22178283752860412
1.75	0.21490343249427918
1.8	0.20751441647597255
1.85	0.20007734553775744
1.9	0.19352677345537758
1.95	0.1868649885583524
2.0	0.179979176201373
