r	c
0.0	0.0
0.001	0.0014660746268656717
0.002	0.005838208955223881
0.003	0.013044079601990048
0.004	0.0230128855721393
0.005	0.03588885572139303
0.006	0.05157164179104477
0.007	0.06987611940298508
0.008	0.09072537313432837
0.009	0.11526019900497513
0.01	0.14288756218905474
0.011	0.17307512437810946
0.012	0.20708059701492537
0.013	0.24601890547263683
0.014	0.28362636815920395
0.015	0.32638457711442787
0.016	0.3726144278606965
0.017	0.42161044776119405
0.018	0.47358457711442786
0.019	0.5336965174129353
0.02	0.5954378109452737
0.021	0.6598756218905473
0.022	0.7276517412935324
0.023	0.798228855721393
0.024	0.8686915422885572
0.025	0.9456218905472636
0.026	1.0258507462686568
0.027	1.116039800995025
0.028	1.2155174129353232
0.029	1.3151094527363183
0.03	1.4195223880597017
0.031	1.5303084577114427
0.032	1.6476169154228855
0.033	1.7719850746268655
0.034	1.9012636815920398
0.035	2.0341592039800993
0.036	2.173412935323383
0.037	2.3185671641791044
0.038	2.454870646766169
0.039	2.5981243781094525
0.04	2.7545223880597014
0.041	2.917169154228856
0.042	3.09473631840796
0.043	3.291855721393035
0.044	3.491174129353234
0.045	3.7003681592039803
0.046	3.920223880597015
0.047	4.139970149253731
0.048	4.370442786069652
0.049	4.62489552238806
0.05	4.895179104477612
0.051	5.151641791044776
0.052	5.398507462686567
0.053	5.658507462686567
0.054	5.933134328358209
0.055	6.204427860696517
0.056	6.4724875621890545
0.057	6.7362189054726365
0.058	6.99592039800995
0.059	7.249253731343283
0.06	7.4879601990049744
0.061	7.719253731343283
0.062	7.981343283582089
0.063	8.244925373134329
0.064	8.524875621890548
0.065	8.816069651741293
0.066	9.124875621890547
0.067	9.484875621890547
0.068	9.844129353233832
0.069	10.148955223880597
0.07	10.415472636815922
0.071	10.67636815920398
0.072	10.926069651741292
0.073	11.164875621890546
0.074	11.389054726368158
0.075	11.602238805970151
0.076	11.80865671641791
0.077	12.02099502487562
0.078	12.269402985074628
0.079	12.528109452736318
0.08	12.7563184079602
0.081	12.937512437810945
0.082	13.085820895522389
0.083	13.230895522388058
0.084	13.38084577114428
0.085	13.521990049751244
0.086	13.627313432835821
0.087	13.71034825870647
0.088	13.770945273631842
0.089	13.821442786069653
0.09	13.861741293532338
0.091	13.884925373134328
0.092	13.908258706467661
0.093	13.942238805970149
0.094	13.98273631840796
0.095	14.001492537313434
0.096	13.99094527363184
0.097	13.965870646766168
0.098	13.938109452736319
0.099	13.917860696517412
0.1	13.902089552238806
0.101	13.849552238805972
0.102	13.77776119402985
0.103	13.713582089552238
0.104	13.654925373134327
0.105	13.59960199004975
0.106	13.541641791044775
0.107	13.478855721393035
0.108	13.413432835820895
0.109	13.340298507462688
0.11	13.261741293532339
0.111	13.171940298507462
0.112	13.044875621890547
0.113	12.895671641791045
0.114	12.727960199004976
0.115	12.54407960199005
0.116	12.340099502487563
0.117	12.11502487562189
0.118	11.848457711442785
0.119	11.574626865671641
0.12	11.311243781094527
0.121	11.068358208955223
0.122	10.863134328358209
0.123	10.687960199004976
0.124	10.489004975124377
0.125	10.270646766169154
0.126	10.040149253731343
0.127	9.77547263681592
0.128	9.477810945273632
0.129	9.171641791044776
0.13	8.862139303482587
0.131	8.518507462686568
0.132	8.127114427860697
0.133	7.718955223880597
0.134	7.295771144278607
0.135	6.871691542288557
0.136	6.453482587064677
0.137	6.048756218905472
0.138	5.663980099502488
0.139	5.320597014925373
0.14	4.981044776119403
0.141	4.665820895522388
0.142	4.405825870646766
0.143	4.178343283582089
0.144	3.9376467661691543
0.145	3.716432835820896
0.146	3.4928905472636815
0.147	3.2677462686567162
0.148	3.0551940298507465
0.149	2.857388059701493
0.15	2.649626865671642
0.151	2.4569004975124376
0.152	2.2880248756218906
0.153	2.1114278606965176
0.154	1.96344776119403
0.155	1.8355671641791045
0.156	1.7124477611940299
0.157	1.5972288557213932
0.158	1.5030348258706467
0.159	1.40318407960199
0.16	1.2697114427860696
0.161	1.136587064676617
0.162	1.0074328358208955
0.163	0.8828159203980099
0.164	0.7636915422885573
0.165	0.6510696517412936
0.166	0.5437412935323384
0.167	0.4423422885572139
0.168	0.3477601990049751
0.169	0.2616323383084577
0.17	0.1847726368159204
0.171	0.11680547263681593
0.172	0.059644278606965175
0.173	0.016758009950248755
0.174	1.8788955223880598e-09
0.175	1.4448706467661692e-09
0.176	1.0573731343283581e-09
0.177	7.262089552238806e-10
0.178	4.694562189054726e-10
0.179	3.486681592039801e-10
0.18	3.0306517412935325e-10
0.181	2.614721393034826e-10
0.182	2.2468756218905474e-10
0.183	1.942676616915423e-10
0.184	1.7611094527363183e-10
0.185	1.621915422885572e-10
0.186	1.4609104477611942e-10
0.187	1.30781592039801e-10
0.188	1.1633233830845771e-10
0.189	1.0289402985074626e-10
0.19	9.087960199004974e-11
0.191	8.032139303482588e-11
0.192	7.056119402985074e-11
0.193	6.173830845771145e-11
0.194	5.4080099502487557e-11
0.195	4.817064676616915e-11
0.196	4.46307960199005e-11
0.197	4.124039800995025e-11
0.198	3.8025522388059697e-11
0.199	3.502616915422885e-11
0.2	3.2313283582089554e-11
0.201	3.004139303482587e-11
0.202	2.792268656716418e-11
0.203	2.593542288557214e-11
0.204	2.408462686567164e-11
0.205	2.2394925373134327e-11
0.206	2.097820895522388e-11
0.207	1.9699253731343285e-11
0.208	1.848547263681592e-11
0.209	1.733636815920398e-11
0.21	1.6261044776119402e-11
0.211	1.529636815920398e-11
0.212	1.4442935323383084e-11
0.213	1.3628009950248756e-11
0.214	1.2858855721393034e-11
0.215	1.2138905472636816e-11
0.216	1.1484029850746269e-11
0.217	1.0938507462686569e-11
0.218	1.0420696517412935e-11
0.219	9.91129353233831e-12
0.22	9.401194029850747e-12
0.221	8.859054726368159e-12
0.222	8.397661691542289e-12
0.223	8.035174129353234e-12
0.224	7.688905472636816e-12
0.225	7.362786069651742e-12
0.226	7.063233830845771e-12
0.227	6.794626865671641e-12
0.228	6.531044776119403e-12
0.229	6.271293532338309e-12
0.23	6.0114925373134325e-12
0.231	5.740398009950249e-12
0.232	5.5207960199004976e-12
0.233	5.335373134328358e-12
0.234	5.154676616915423e-12
0.235	4.978805970149254e-12
0.236	4.810855721393034e-12
0.237	4.655671641791044e-12
0.238	4.503258706467662e-12
0.239	4.351900497512438e-12
0.24	4.201388059701492e-12
0.241	4.0431990049751245e-12
0.242	3.904199004975124e-12
0.243	3.7949253731343285e-12
0.244	3.6890597014925374e-12
0.245	3.585502487562189e-12
0.246	3.4856865671641794e-12
0.247	3.397144278606965e-12
0.248	3.3144328358208957e-12
0.249	3.2325572139303485e-12
0.25	3.1511393034825873e-12
0.251	3.0687562189054728e-12
0.252	2.98081592039801e-12
0.253	2.9086716417910448e-12
0.254	2.845517412935323e-12
0.255	2.7843233830845773e-12
0.256	2.725024875621891e-12
0.257	2.6683980099502488e-12
0.258	2.617766169154229e-12
0.259	2.569009950248756e-12
0.26	2.5213432835820894e-12
0.261	2.474149253731343e-12
0.262	2.42665671641791e-12
0.263	2.375925373134328e-12
0.264	2.331606965174129e-12
0.265	2.2953084577114427e-12
0.266	2.2588805970149254e-12
0.267	2.222860696517413e-12
0.268	2.18792039800995e-12
0.269	2.15536815920398e-12
0.27	2.1256467661691544e-12
0.271	2.0965124378109453e-12
0.272	2.0681492537313433e-12
0.273	2.040348258706468e-12
0.274	2.0124825870646766e-12
0.275	1.9828557213930348e-12
0.276	1.9595273631840795e-12
0.277	1.9401691542288556e-12
0.278	1.921402985074627e-12
0.279	1.903134328358209e-12
0.28	1.8852487562189054e-12
0.281	1.8682189054726367e-12
0.282	1.852358208955224e-12
0.283	1.8373781094527362e-12
0.284	1.8227014925373134e-12
0.285	1.80826368159204e-12
0.286	1.7939651741293533e-12
0.287	1.7786965174129353e-12
0.288	1.7632736318407959e-12
0.289	1.7528109452736318e-12
0.29	1.7419154228855722e-12
0.291	1.7310895522388061e-12
0.292	1.7210845771144277e-12
0.293	1.7118955223880597e-12
0.294	1.7042139303482587e-12
0.295	1.6975970149253732e-12
0.296	1.6912985074626866e-12
0.297	1.6852786069651742e-12
0.298	1.6794278606965175e-12
0.299	1.6732189054726368e-12
0.3	1.6659203980099501e-12
0.301	1.658601990049751e-12
0.302	1.6549900497512438e-12
0.303	1.6528507462686567e-12
0.304	1.6513084577114428e-12
0.305	1.6501940298507464e-12
0.306	1.649452736318408e-12
0.307	1.6497810945273633e-12
0.308	1.6510149253731343e-12
0.309	1.6525572139303483e-12
0.31	1.6544975124378108e-12
0.311	1.6568457711442787e-12
0.312	1.6595572139303482e-12
0.313	1.6625721393034826e-12
0.314	1.665721393034826e-12
0.315	1.6682437810945273e-12
0.316	1.67281592039801e-12
0.317	1.6790298507462687e-12
0.318	1.6845323383084578e-12
0.319	1.6888009950248756e-12
0.32	1.6941243781094529e-12
0.321	1.700542288557214e-12
0.322	1.7080398009950247e-12
0.323	1.716179104477612e-12
0.324	1.7248507462686568e-12
0.325	1.7340248756218907e-12
0.326	1.743681592039801e-12
0.327	1.7537661691542287e-12
0.328	1.7642388059701493e-12
0.329	1.7737761194029851e-12
0.33	1.7810049751243782e-12
0.331	1.790034825870647e-12
0.332	1.800960199004975e-12
0.333	1.8119552238805972e-12
0.334	1.823358208955224e-12
0.335	1.8351940298507465e-12
0.336	1.8476069651741294e-12
0.337	1.860507462686567e-12
0.338	1.8731542288557214e-12
0.339	1.887676616915423e-12
0.34	1.9031592039800996e-12
0.341	1.917363184079602e-12
0.342	1.9306666666666667e-12
0.343	1.9461542288557216e-12
0.344	1.9627313432835822e-12
0.345	1.9801194029850746e-12
0.346	1.9979203980099503e-12
0.347	2.0162089552238804e-12
0.348	2.0353333333333332e-12
0.349	2.055223880597015e-12
0.35	2.0758059701492537e-12
0.351	2.0970348258706467e-12
0.352	2.1189253731343284e-12
0.353	2.1415721393034825e-12
0.354	2.1610099502487563e-12
0.355	2.182278606965174e-12
0.356	2.2090099502487565e-12
0.357	2.2391243781094527e-12
0.358	2.2713830845771146e-12
0.359	2.3055174129353234e-12
0.36	2.3415024875621887e-12
0.361	2.3789751243781097e-12
0.362	2.418124378109453e-12
0.363	2.459223880597015e-12
0.364	2.501592039800995e-12
0.365	2.5469452736318407e-12
0.366	2.594557213930348e-12
0.367	2.6427512437810947e-12
0.368	2.6843184079601993e-12
0.369	2.7382985074626863e-12
0.37	2.8019800995024874e-12
0.371	2.872228855721393e-12
0.372	2.9479452736318407e-12
0.373	3.028597014925373e-12
0.374	3.1138407960199006e-12
0.375	3.203412935323383e-12
0.376	3.2970796019900496e-12
0.377	3.3939850746268658e-12
0.378	3.494626865671642e-12
0.379	3.600835820895522e-12
0.38	3.711900497512438e-12
0.381	3.827432835820896e-12
0.382	3.943069651741293e-12
0.383	4.042432835820895e-12
0.384	4.172636815920398e-12
0.385	4.326771144278607e-12
0.386	4.497283582089552e-12
0.387	4.681577114427861e-12
0.388	4.8783084577114425e-12
0.389	5.086716417910447e-12
0.39	5.3060696517412936e-12
0.391	5.53592039800995e-12
0.392	5.775970149253731e-12
0.393	6.0257711442786065e-12
0.394	6.284776119402986e-12
0.395	6.55273631840796e-12
0.396	6.830298507462686e-12
0.397	7.1206965174129356e-12
0.398	7.421890547263681e-12
0.399	7.687313432835821e-12
0.4	7.995273631840796e-12
0.401	8.401044776119403e-12
0.402	8.861691542288557e-12
0.403	9.367114427860696e-12
0.404	9.911592039800995e-12
0.405	1.049139303482587e-11
0.406	1.1104875621890547e-11
0.407	1.1752139303482586e-11
0.408	1.243134328358209e-11
0.409	1.3141442786069652e-11
0.41	1.3881940298507463e-11
0.411	1.465228855721393e-11
0.412	1.545223880597015e-11
0.413	1.6281542288557216e-11
0.414	1.713955223880597e-11
0.415	1.8022039800995025e-11
0.416	1.893e-11
0.417	1.9722089552238807e-11
0.418	2.0706169154228857e-11
0.419	2.2107810945273632e-11
0.42	2.3742935323383082e-11
0.421	2.556502487562189e-11
0.422	2.7550447761194028e-11
0.423	2.9684726368159203e-11
0.424	3.195766169154229e-11
0.425	3.4361592039800997e-11
0.426	3.689169154228856e-11
0.427	3.954427860696517e-11
0.428	4.2315373134328354e-11
0.429	4.5202587064676616e-11
0.43	4.820577114427861e-11
0.431	5.1323880597014926e-11
0.432	5.455721393034826e-11
0.433	5.7906965174129354e-11
0.434	6.137213930348258e-11
0.435	6.495174129353234e-11
0.436	6.863134328358209e-11
0.437	7.181890547263681e-11
0.438	7.542636815920398e-11
0.439	7.998507462686567e-11
0.44	8.506218905472638e-11
0.441	9.058756218905472e-11
0.442	9.65044776119403e-11
0.443	1.0277661691542289e-10
0.444	1.0937910447761194e-10
0.445	1.1629502487562188e-10
0.446	1.2351243781094528e-10
0.447	1.310228855721393e-10
0.448	1.3881940298507463e-10
0.449	1.4689701492537313e-10
0.45	1.5525174129353233e-10
0.451	1.63881592039801e-10
0.452	1.7278358208955224e-10
0.453	1.8195721393034826e-10
0.454	1.9140149253731343e-10
0.455	2.0111741293532337e-10
0.456	2.1110547263681593e-10
0.457	2.213636815920398e-10
0.458	2.318950248756219e-10
0.459	2.416407960199005e-10
0.46	2.5023930348258707e-10
0.461	2.5879800995024876e-10
0.462	2.807318407960199e-10
0.463	3.119004975124378e-10
0.464	3.4950845771144274e-10
0.465	3.9242636815920397e-10
0.466	4.4004328358208956e-10
0.467	4.919542288557214e-10
0.468	5.479601990049751e-10
0.469	6.080597014925373e-10
0.47	6.71955223880597e-10
0.471	7.394676616915423e-10
0.472	8.104776119402984e-10
0.473	8.848905472636817e-10
0.474	9.62636815920398e-10
0.475	1.0436467661691542e-09
0.476	1.1278805970149252e-09
0.477	1.2153084577114427e-09
0.478	1.3058955223880596e-09
0.479	1.3996318407960199e-09
0.48	1.4965024875621892e-09
0.481	1.596502487562189e-09
0.482	1.6996467661691542e-09
0.483	1.8059353233830847e-09
0.484	1.9153830845771143e-09
0.485	2.0252139303482586e-09
0.486	2.1192935323383083e-09
0.487	6.9573134328358215e-06
0.488	2.065422885572139e-05
0.489	3.8625174129353233e-05
0.49	6.008457711442786e-05
0.491	8.459402985074626e-05
0.492	0.0001118681592039801
0.493	0.00014170149253731344
0.494	0.0001739422885572139
0.495	0.0002084726368159204
0.496	0.00024519751243781094
0.497	0.00028403980099502485
0.498	0.00032493681592039804
0.499	0.00036783930348258706
0.5	0.00041270696517412936
0.501	0.0004595049751243781
0.502	0.0005082039800995025
0.503	0.0005587860696517413
0.504	0.0006112338308457711
0.505	0.0006655273631840796
0.506	0.0007216716417910447
0.507	0.0007796517412935323
0.508	0.0008394676616915423
0.509	0.0009011243781094528
0.51	0.0009646218905472637
0.511	0.0010299751243781094
0.512	0.0010971890547263681
0.513	0.001166273631840796
0.514	0.001230820895522388
0.515	0.0012867611940298508
0.516	0.0013384577114427861
0.517	0.0013912437810945273
0.518	0.001445626865671642
0.519	0.0015005373134328358
0.52	0.0015557810945273632
0.521	0.0016113134328358209
0.522	0.0016671243781094527
0.523	0.0017232288557213929
0.524	0.00177963184079602
0.525	0.001836353233830846
0.526	0.0018934228855721393
0.527	0.0019508507462686567
0.528	0.0020086567164179104
0.529	0.002066860696517413
0.53	0.0021254825870646765
0.531	0.002184542288557214
0.532	0.0022440497512437813
0.533	0.0023040248756218905
0.534	0.0023660646766169155
0.535	0.002430716417910448
0.536	0.002497139303482587
0.537	0.0025650945273631843
0.538	0.0026344676616915424
0.539	0.0027051840796019897
0.54	0.002777199004975124
0.541	0.0028504825870646765
0.542	0.002925009950248756
0.543	0.0030007810945273635
0.544	0.003077776119402985
0.545	0.003156
0.546	0.003235452736318408
0.547	0.003316139303482587
0.548	0.003396149253731343
0.549	0.003470308457711443
0.55	0.00354418407960199
0.551	0.0036182039800995024
0.552	0.0036921393034825872
0.553	0.0037660149253731343
0.554	0.0038398805970149253
0.555	0.003913791044776119
0.556	0.0039877810945273635
0.557	0.004061895522388059
0.558	0.004136164179104478
0.559	0.004210616915422885
0.56	0.004285278606965174
0.561	0.004360174129353234
0.562	0.004435328358208955
0.563	0.004510756218905472
0.564	0.004586477611940298
0.565	0.004662512437810945
0.566	0.004738880597014925
0.567	0.004815592039800995
0.568	0.004892666666666667
0.569	0.004970119402985075
0.57	0.0050479601990049755
0.571	0.005126218905472637
0.572	0.00520318407960199
0.573	0.00527771144278607
0.574	0.005350995024875622
0.575	0.005423383084577115
0.576	0.00549547263681592
0.577	0.0055681592039801
0.578	0.005641194029850746
0.579	0.005715124378109453
0.58	0.00578955223880597
0.581	0.005864378109452736
0.582	0.0059395522388059705
0.583	0.006015124378109452
0.584	0.0060909950248756225
0.585	0.00616726368159204
0.586	0.00624318407960199
0.587	0.0063153233830845765
0.588	0.00638542288557214
0.589	0.006453980099502488
0.59	0.006520845771144279
0.591	0.006586417910447762
0.592	0.006650945273631841
0.593	0.006714427860696517
0.594	0.00677726368159204
0.595	0.006839651741293532
0.596	0.006901542288557214
0.597	0.006962835820895522
0.598	0.00702363184079602
0.599	0.007083930348258706
0.6	0.0071437313432835825
0.601	0.007203034825870647
0.602	0.007261890547263681
0.603	0.007320298507462686
0.604	0.007378258706467662
0.605	0.007435820895522388
0.606	0.007492985074626865
0.607	0.007549751243781095
0.608	0.007606119402985074
0.609	0.007662139303482587
0.61	0.00771776119402985
0.611	0.007773084577114428
0.612	0.007828009950248757
0.613	0.007882587064676616
0.614	0.00793686567164179
0.615	0.007990796019900498
0.616	0.008044427860696517
0.617	0.008097711442786069
0.618	0.008150696517412936
0.619	0.008203383084577114
0.62	0.008255820895522388
0.621	0.008308258706467663
0.622	0.008359701492537314
0.623	0.008409701492537313
0.624	0.00845870646766169
0.625	0.008506915422885572
0.626	0.008554378109452736
0.627	0.008600945273631842
0.628	0.008646766169154229
0.629	0.008691243781094527
0.63	0.008734179104477612
0.631	0.008776019900497513
0.632	0.00881681592039801
0.633	0.00885731343283582
0.634	0.008897363184079602
0.635	0.008936865671641791
0.636	0.0089755223880597
0.637	0.009013383084577114
0.638	0.00905044776119403
0.639	0.009086716417910447
0.64	0.009122537313432837
0.641	0.009157860696517413
0.642	0.009192636815920398
0.643	0.00922681592039801
0.644	0.00926044776119403
0.645	0.009293482587064677
0.646	0.00932597014925373
0.647	0.009357860696517412
0.648	0.009389154228855721
0.649	0.009419900497512438
0.65	0.009450049751243781
0.651	0.009479601990049751
0.652	0.009508059701492537
0.653	0.009535522388059702
0.654	0.009562139303482587
0.655	0.009588009950248756
0.656	0.009613084577114427
0.657	0.009637363184079602
0.658	0.009660945273631842
0.659	0.009683781094527362
0.66	0.00970592039800995
0.661	0.00972726368159204
0.662	0.009747860696517412
0.663	0.009767661691542289
0.664	0.009786716417910448
0.665	0.00980502487562189
0.666	0.009822636815920398
0.667	0.009839452736318408
0.668	0.009855522388059701
0.669	0.009870895522388061
0.67	0.00988547263681592
0.671	0.009898955223880597
0.672	0.00991139303482587
0.673	0.009922885572139304
0.674	0.009933432835820896
0.675	0.009943034825870648
0.676	0.009951791044776118
0.677	0.00995960199004975
0.678	0.009966467661691543
0.679	0.009972338308457713
0.68	0.009976915422885571
0.681	0.009980298507462687
0.682	0.009982636815920399
0.683	0.009984179104477612
0.684	0.009984776119402987
0.685	0.009984427860696518
0.686	0.009983084577114429
0.687	0.009980796019900496
0.688	0.009977910447761194
0.689	0.009974179104477612
0.69	0.009969502487562188
0.691	0.009963980099502487
0.692	0.009957462686567164
0.693	0.009949999999999999
0.694	0.009941542288557214
0.695	0.009932089552238807
0.696	0.009921542288557213
0.697	0.009909900497512437
0.698	0.009897213930348259
0.699	0.009883681592039801
0.7	0.009869253731343283
0.701	0.009853880597014924
0.702	0.009837412935323383
0.703	0.009819800995024877
0.704	0.009801044776119403
0.705	0.009781044776119402
0.706	0.009759751243781095
0.707	0.009737114427860696
0.708	0.009712985074626866
0.709	0.00968731343283582
0.71	0.009660049751243781
0.711	0.009631044776119403
0.712	0.009600248756218906
0.713	0.009567512437810946
0.714	0.00953273631840796
0.715	0.009495721393034826
0.716	0.009456268656716418
0.717	0.009413930348258708
0.718	0.009368308457711442
0.719	0.009318557213930347
0.72	0.009262388059701492
0.721	0.009197114427860696
0.722	0.009132089552238806
0.723	0.009067363184079602
0.724	0.009002786069651741
0.725	0.008938358208955223
0.726	0.008874179104477612
0.727	0.008810298507462686
0.728	0.008746965174129354
0.729	0.008683980099502487
0.73	0.008621442786069652
0.731	0.008559452736318408
0.732	0.008498009950248755
0.733	0.008436915422885573
0.734	0.008376268656716418
0.735	0.008316069651741293
0.736	0.008256218905472637
0.737	0.00819676616915423
0.738	0.008137761194029852
0.739	0.00807915422885572
0.74	0.00802089552238806
0.741	0.007963084577114428
0.742	0.007905621890547264
0.743	0.007848557213930348
0.744	0.007791791044776119
0.745	0.007735124378109452
0.746	0.00767865671641791
0.747	0.007622487562189055
0.748	0.007566616915422886
0.749	0.007510995024875623
0.75	0.0074556218905472635
0.751	0.00740044776119403
0.752	0.007345422885572139
0.753	0.007290597014925374
0.754	0.007236169154228855
0.755	0.007182089552238806
0.756	0.0071282587064676614
0.757	0.007074626865671642
0.758	0.007021194029850746
0.759	0.0069679104477611935
0.76	0.006914626865671641
0.761	0.006861094527363184
0.762	0.006806517412935323
0.763	0.00674865671641791
0.764	0.006693532338308457
0.765	0.0066433830845771145
0.766	0.006600945273631841
0.767	0.006559353233830846
0.768	0.006518009950248756
0.769	0.006476815920398011
0.77	0.006435671641791045
0.771	0.0063947263681592035
0.772	0.006353980099502487
0.773	0.0063137313432835825
0.774	0.006273880597014925
0.775	0.0062343283582089555
0.776	0.006195074626865671
0.777	0.006156169154228856
0.778	0.006117512437810945
0.779	0.0060791044776119406
0.78	0.00604089552238806
0.781	0.006002985074626865
0.782	0.005965422885572139
0.783	0.005928059701492538
0.784	0.005890945273631841
0.785	0.005854029850746269
0.786	0.005817412935323383
0.787	0.005781044776119403
0.788	0.0057450746268656715
0.789	0.0057094029850746275
0.79	0.005674029850746268
0.791	0.005639004975124378
0.792	0.005604328358208956
0.793	0.005570049751243781
0.794	0.005536069651741293
0.795	0.005502388059701492
0.796	0.005469004975124378
0.797	0.00543587064676617
0.798	0.005402985074626866
0.799	0.00537044776119403
0.8	0.0053382089552238806
0.801	0.00530636815920398
0.802	0.005274776119402985
0.803	0.0052433333333333325
0.804	0.005212189054726368
0.805	0.005181243781094528
0.806	0.005150597014925372
0.807	0.005120149253731343
0.808	0.005089900497512437
0.809	0.005059850746268657
0.81	0.005030049751243781
0.811	0.005000298507462687
0.812	0.004970253731343284
0.813	0.004939094527363184
0.814	0.00491202487562189
0.815	0.0048875422885572145
0.816	0.004863258706467662
0.817	0.004839169154228856
0.818	0.004815283582089552
0.819	0.00479163184079602
0.82	0.004768149253731343
0.821	0.004744870646766169
0.822	0.004721865671641791
0.823	0.004699099502487562
0.824	0.00467655223880597
0.825	0.004654213930348258
0.826	0.004632019900497513
0.827	0.004609985074626865
0.828	0.004588144278606965
0.829	0.0045665721393034825
0.83	0.004545228855721393
0.831	0.00452410447761194
0.832	0.004503208955223881
0.833	0.004482557213930348
0.834	0.004462134328358209
0.835	0.004441960199004975
0.836	0.004422114427860696
0.837	0.0044025323383084574
0.838	0.004383189054726368
0.839	0.004364089552238806
0.84	0.0043452388059701495
0.841	0.004326587064676617
0.842	0.0043081542288557215
0.843	0.0042900298507462685
0.844	0.0042721990049751244
0.845	0.0042546417910447765
0.846	0.0042373631840796015
0.847	0.004220402985074627
0.848	0.004203786069651741
0.849	0.004187517412935323
0.85	0.0041715671641791045
0.851	0.004155940298507462
0.852	0.004140636815920398
0.853	0.004125592039800995
0.854	0.004110845771144279
0.855	0.004096412935323383
0.856	0.004082318407960199
0.857	0.004068572139303483
0.858	0.004055189054726368
0.859	0.004042194029850747
0.86	0.00402960696517413
0.861	0.004017492537313433
0.862	0.004005900497512437
0.863	0.0039948805970149255
0.864	0.003984497512437811
0.865	0.0039748009950248755
0.866	0.0039658407960199
0.867	0.003957701492537314
0.868	0.003950547263681592
0.869	0.0039447363184079605
0.87	0.003939970149253732
0.871	0.003936388059701493
0.872	0.0039350746268656716
0.873	0.0039343980099502485
0.874	0.003933512437810946
0.875	0.003932412935323383
0.876	0.003931124378109453
0.877	0.003929661691542288
0.878	0.003928
0.879	0.0039261393034825875
0.88	0.003924069651741293
0.881	0.003921766169154229
0.882	0.003919223880597015
0.883	0.00391644776119403
0.884	0.003913487562189054
0.885	0.003910348258706468
0.886	0.003907
0.887	0.003903422885572139
0.888	0.0038996069651741293
0.889	0.003895547263681592
0.89	0.003891273631840796
0.891	0.00388681592039801
0.892	0.003882139303482587
0.893	0.0038772338308457714
0.894	0.0038721194029850744
0.895	0.003866820895522388
0.896	0.0038613034825870645
0.897	0.003855601990049751
0.898	0.0038496517412935326
0.899	0.0038434378109452735
0.9	0.0038369303482587063
0.901	0.003830134328358209
0.902	0.0038230497512437814
0.903	0.0038156616915422884
0.904	0.0038079701492537313
0.905	0.003799960199004975
0.906	0.0037916467661691547
0.907	0.003783044776119403
0.908	0.0037741194029850744
0.909	0.0037649203980099502
0.91	0.0037554179104477615
0.911	0.0037455671641791043
0.912	0.0037353034825870646
0.913	0.003724626865671642
0.914	0.0037135323383084575
0.915	0.0037020149253731345
0.916	0.0036900547263681595
0.917	0.0036776119402985074
0.918	0.0036646567164179107
0.919	0.0036511492537313435
0.92	0.0036370696517412935
0.921	0.0036223980099502487
0.922	0.003607099502487562
0.923	0.0035910497512437814
0.924	0.003574094527363184
0.925	0.0035561492537313434
0.926	0.0035368109452736315
0.927	0.0035148457711442786
0.928	0.003492169154228856
0.929	0.003469601990049751
0.93	0.003447179104477612
0.931	0.0034249353233830847
0.932	0.003402820895522388
0.933	0.0033808407960199
0.934	0.003359019900497512
0.935	0.0033374875621890545
0.936	0.0033160696517412934
0.937	0.0032945870646766172
0.938	0.003272910447761194
0.939	0.0032510597014925374
0.94	0.0032293034825870643
0.941	0.003207641791044776
0.942	0.0031860995024875624
0.943	0.003164746268656716
0.944	0.00314355223880597
0.945	0.003122467661691542
0.946	0.003101487562189055
0.947	0.0030806318407960195
0.948	0.0030598905472636814
0.949	0.0030392636815920397
0.95	0.0030187512437810943
0.951	0.0029983482587064678
0.952	0.0029780547263681596
0.953	0.0029578955223880598
0.954	0.0029379004975124377
0.955	0.0029180099502487565
0.956	0.002898223880597015
0.957	0.0028785422885572137
0.958	0.002858970149253731
0.959	0.002839497512437811
0.96	0.002820174129353234
0.961	0.002801004975124378
0.962	0.0027819402985074623
0.963	0.002762990049751244
0.964	0.002744144278606965
0.965	0.0027254626865671643
0.966	0.0027069104477611943
0.967	0.0026884726368159202
0.968	0.002670164179104478
0.969	0.002652014925373134
0.97	0.002633995024875622
0.971	0.002616099502487562
0.972	0.0025983432835820896
0.973	0.0025807313432835823
0.974	0.00256326368159204
0.975	0.0025459402985074627
0.976	0.0025287562189054724
0.977	0.0025117114427860698
0.978	0.0024948059701492536
0.979	0.002478044776119403
0.98	0.0024614228855721395
0.981	0.0024449402985074627
0.982	0.0024285970149253732
0.983	0.0024123980099502486
0.984	0.0023963432835820897
0.985	0.0023804278606965176
0.986	0.0023646517412935324
0.987	0.0023490149253731344
0.988	0.0023335223880597018
0.989	0.0023181691542288555
0.99	0.002302950248756219
0.991	0.002287860696517413
0.992	0.0022728955223880595
0.993	0.002258044776119403
0.994	0.0022432885572139303
0.995	0.002228587064676617
0.996	0.002213870646766169
0.997	0.00219892039800995
0.998	0.0021833731343283585
0.999	0.002168557213930348
1.0	0.002154407960199005
