r	c
0.0	0.0
0.001	0.0009373184079601991
0.002	0.0037413333333333335
0.003	0.008334626865671642
0.004	0.014598656716417911
0.005	0.022512736318407958
0.006	0.03217154228855721
0.007	0.043556318407960204
0.008	0.05668009950248756
0.009	0.0714960199004975
0.01	0.08824875621890547
0.011	0.1066910447761194
0.012	0.12675572139303484
0.013	0.1484497512437811
0.014	0.17178059701492537
0.015	0.1967407960199005
0.016	0.22350348258706468
0.017	0.25196218905472634
0.018	0.2820870646766169
0.019	0.31399502487562186
0.02	0.347692039800995
0.021	0.38295820895522387
0.022	0.41945970149253736
0.023	0.4579199004975124
0.024	0.4980099502487562
0.025	0.5399800995024876
0.026	0.5838805970149253
0.027	0.6290398009950249
0.028	0.6759054726368159
0.029	0.7248258706467662
0.03	0.7756567164179105
0.031	0.828452736318408
0.032	0.8831940298507462
0.033	0.9388955223880596
0.034	0.9960398009950249
0.035	1.0558258706467663
0.036	1.1179999999999999
0.037	1.1817213930348258
0.038	1.2466119402985074
0.039	1.313089552238806
0.04	1.3810646766169155
0.041	1.451860696517413
0.042	1.5254378109452735
0.043	1.601855721393035
0.044	1.6789054726368158
0.045	1.756363184079602
0.046	1.8346517412935324
0.047	1.9154179104477613
0.048	2.000119402985075
0.049	2.087855721393035
0.05	2.177636815920398
0.051	2.26881592039801
0.052	2.361099502487562
0.053	2.4555174129353237
0.054	2.5548059701492534
0.055	2.6562139303482586
0.056	2.759457711442786
0.057	2.864651741293532
0.058	2.9733532338308457
0.059	3.0848507462686565
0.06	3.1998358208955224
0.061	3.3147512437810946
0.062	3.431592039800995
0.063	3.5493084577114424
0.064	3.668044776119403
0.065	3.788771144278607
0.066	3.9153582089552237
0.067	4.051119402985075
0.068	4.188776119402985
0.069	4.32718407960199
0.07	4.466552238805971
0.071	4.60510447761194
0.072	4.742686567164179
0.073	4.880701492537313
0.074	5.018805970149254
0.075	5.160049751243782
0.076	5.309651741293532
0.077	5.462238805970149
0.078	5.6182089552238805
0.079	5.776666666666666
0.08	5.9323383084577115
0.081	6.0871641791044775
0.082	6.238756218905473
0.083	6.388358208955224
0.084	6.535671641791045
0.085	6.680199004975124
0.086	6.825223880597014
0.087	6.973432835820896
0.088	7.116268656716417
0.089	7.257064676616916
0.09	7.397014925373134
0.091	7.532338308457711
0.092	7.664129353233831
0.093	7.792636815920398
0.094	7.919303482587065
0.095	8.043383084577114
0.096	8.162935323383085
0.097	8.278706467661692
0.098	8.38955223880597
0.099	8.498905472636816
0.1	8.613532338308458
0.101	8.717910447761193
0.102	8.810995024875622
0.103	8.894825870646766
0.104	8.970945273631841
0.105	9.040497512437812
0.106	9.102636815920398
0.107	9.157014925373135
0.108	9.205323383084577
0.109	9.247810945273631
0.11	9.284626865671642
0.111	9.316268656716417
0.112	9.339751243781095
0.113	9.358407960199004
0.114	9.373283582089552
0.115	9.387064676616916
0.116	9.408805970149254
0.117	9.42776119402985
0.118	9.437910447761194
0.119	9.442587064676617
0.12	9.444925373134328
0.121	9.445572139303483
0.122	9.441393034825872
0.123	9.432686567164179
0.124	9.42089552238806
0.125	9.404477611940298
0.126	9.383880597014926
0.127	9.361592039800996
0.128	9.3336815920398
0.129	9.301940298507462
0.13	9.266716417910446
0.131	9.226019900497512
0.132	9.182437810945274
0.133	9.135671641791046
0.134	9.082985074626865
0.135	9.026616915422885
0.136	8.960696517412934
0.137	8.88497512437811
