t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
0	155.036	67.3608	0	0	0	0	0	0	0	0	0	0
7.54148e-05	156.471	65.9257	0.0117466	0.00502543	0	0	0	0	0	0	0	0
0.00015083	157.837	64.5598	0.0235987	0.00994529	0	0	0	0	0	0	0	0
0.000226244	159.139	63.2575	0.0355514	0.0147646	0	0	0	0	0	0	0	0
0.000301659	160.382	62.0142	0.0476001	0.0194879	0	0	0	0	0	0	0	0
0.000377074	161.571	60.8257	0.0597405	0.0241195	0	0	0	0	0	0	0	0
0.000452489	162.708	59.6886	0.0719685	0.0286635	0	0	0	0	0	0	0	0
0.000527903	163.797	58.5994	0.0842804	0.0331235	0	0	0	0	0	0	0	0
0.000603318	164.841	57.5552	0.0966728	0.0375031	0	0	0	0	0	0	0	0
0.000678733	165.844	56.5531	0.109142	0.0418056	0	0	0	0	0	0	0	0
0.000754148	166.806	55.5906	0.121686	0.046034	0	0	0	0	0	0	0	0
0.000829563	167.731	54.6653	0.134301	0.0501912	0	0	0	0	0	0	0	0
0.000904977	168.622	53.7751	0.146984	0.05428	0	0	0	0	0	0	0	0
0.000980392	169.479	52.9178	0.159733	0.0583029	0	0	0	0	0	0	0	0
0.00105581	170.305	52.0916	0.172546	0.0622624	0	0	0	0	0	0	0	0
0.00113122	171.102	51.2949	0.185419	0.0661606	0	0	0	0	0	0	0	0
0.00120664	171.871	50.5259	0.198352	0.0699999	0	0	0	0	0	0	0	0
0.00128205	172.613	49.7832	0.211342	0.0737821	0	0	0	0	0	0	0	0
0.00135747	173.331	49.0653	0.224387	0.0775093	0	0	0	0	0	0	0	0
0.00143288	174.026	48.3711	0.237485	0.0811832	0	0	0	0	0	0	0	0
0.0015083	174.697	47.6992	0.250634	0.0848056	0	0	0	0	0	0	0	0
0.00158371	175.348	47.0486	0.263834	0.0883782	0	0	0	0	0	0	0	0
0.00165913	175.978	46.4182	0.277081	0.0919024	0	0	0	0	0	0	0	0
0.00173454	176.59	45.8071	0.290376	0.0953799	0	0	0	0	0	0	0	0
0.00180995	177.182	45.2143	0.303716	0.098812	0	0	0	0	0	0	0	0
0.00188537	177.758	44.6389	0.3171	0.1022	0	0	0	0	0	0	0	0
0.00196078	178.316	44.0803	0.330527	0.105545	0	0	0	0	0	0	0	0
0.0020362	178.859	43.5375	0.343995	0.108849	0	0	0	0	0	0	0	0
0.00211161	179.387	43.01	0.357503	0.112112	0	0	0	0	0	0	0	0
0.00218703	179.9	42.497	0.371051	0.115337	0	0	0	0	0	0	0	0
0.00226244	180.399	41.9979	0.384637	0.118523	0	0	0	0	0	0	0	0
0.00233786	180.885	41.5121	0.39826	0.121671	0	0	0	0	0	0	0	0
0.00241327	181.358	41.0391	0.41192	0.124784	0	0	0	0	0	0	0	0
0.00248869	181.818	40.5784	0.425614	0.127862	0	0	0	0	0	0	0	0
0.0025641	182.267	40.1294	0.439343	0.130905	0	0	0	0	0	0	0	0
0.00263952	182.705	39.6917	0.453105	0.133915	0	0	0	0	0	0	0	0
0.00271493	183.132	39.2648	0.4669	0.136892	0	0	0	0	0	0	0	0
0.00279035	183.548	38.8483	0.480727	0.139837	0	0	0	0	0	0	0	0
0.00286576	183.955	38.4419	0.494584	0.142751	0	0	0	0	0	0	0	0
0.00294118	184.352	38.0451	0.508472	0.145636	0	0	0	0	0	0	0	0
0.00301659	184.739	37.6576	0.52239	0.14849	0	0	0	0	0	0	0	0
0.00309201	185.118	37.2791	0.536336	0.151316	0	0	0	0	0	0	0	0
0.00316742	185.488	36.9091	0.550311	0.154113	0	0	0	0	0	0	0	0
0.00324284	185.849	36.5475	0.564313	0.156883	0	0	0	0	0	0	0	0
0.00331825	186.203	36.1939	0.578342	0.159626	0	0	0	0	0	0	0	0
0.00339367	186.549	35.848	0.592398	0.162342	0	0	0	0	0	0	0	0
0.00346908	186.887	35.5097	0.606479	0.165033	0	0	0	0	0	0	0	0
0.00354449	187.218	35.1785	0.620585	0.167698	0	0	0	0	0	0	0	0
0.00361991	187.542	34.8543	0.634717	0.170339	0	0	0	0	0	0	0	0
0.00369532	187.86	34.5369	0.648872	0.172955	0	0	0	0	0	0	0	0
0.00377074	188.171	34.226	0.663051	0.175548	0	0	0	0	0	0	0	0
0.00384615	188.475	33.9214	0.677254	0.178118	0	0	0	0	0	0	0	0
0.00392157	188.774	33.623	0.691479	0.180665	0	0	0	0	0	0	0	0
0.00399698	189.066	33.3304	0.705726	0.183189	0	0	0	0	0	0	0	0
0.0040724	189.353	33.0436	0.719995	0.185692	0	0	0	0	0	0	0	0
0.00414781	189.634	32.7624	0.734286	0.188174	0	0	0	0	0	0	0	0
0.00422323	189.91	32.4866	0.748598	0.190634	0	0	0	0	0	0	0	0
0.00429864	190.181	32.216	0.76293	0.193074	0	0	0	0	0	0	0	0
0.00437406	190.446	31.9505	0.777283	0.195493	0	0	0	0	0	0	0	0
0.00444947	190.707	31.6899	0.791655	0.197893	0	0	0	0	0	0	0	0
0.00452489	190.963	31.434	0.806047	0.200273	0	0	0	0	0	0	0	0
0.0046003	191.214	31.1829	0.820458	0.202634	0	0	0	0	0	0	0	0
0.00467572	191.46	30.9362	0.834887	0.204976	0	0	0	0	0	0	0	0
0.00475113	191.703	30.6939	0.849335	0.2073	0	0	0	0	0	0	0	0
0.00482655	191.941	30.4559	0.863802	0.209606	0	0	0	0	0	0	0	0
0.00490196	192.175	30.222	0.878286	0.211894	0	0	0	0	0	0	0	0
0.00497738	192.404	29.9922	0.892787	0.214165	0	0	0	0	0	0	0	0
0.00505279	192.63	29.7663	0.907306	0.216418	0	0	0	0	0	0	0	0
0.00512821	192.852	29.5442	0.921841	0.218654	0	0	0	0	0	0	0	0
0.00520362	193.071	29.3258	0.936393	0.220874	0	0	0	0	0	0	0	0
0.00527903	193.286	29.111	0.950962	0.223078	0	0	0	0	0	0	0	0
0.00535445	193.497	28.8997	0.965547	0.225265	0	0	0	0	0	0	0	0
0.00542986	193.705	28.6919	0.980147	0.227437	0	0	0	0	0	0	0	0
0.00550528	193.909	28.4874	0.994763	0.229593	0	0	0	0	0	0	0	0
0.00558069	194.11	28.2862	1.00939	0.231733	0	0	0	0	0	0	0	0
0.00565611	194.308	28.0881	1.02404	0.233859	0	0	0	0	0	0	0	0
0.00573152	194.503	27.8932	1.0387	0.23597	0	0	0	0	0	0	0	0
0.00580694	194.695	27.7012	1.05338	0.238066	0	0	0	0	0	0	0	0
0.00588235	194.884	27.5123	1.06807	0.240148	0	0	0	0	0	0	0	0
0.00595777	195.07	27.3261	1.08277	0.242216	0	0	0	0	0	0	0	0
0.00603318	195.254	27.1428	1.09749	0.24427	0	0	0	0	0	0	0	0
0.0061086	195.434	26.9623	1.11222	0.24631	0	0	0	0	0	0	0	0
0.00618401	195.612	26.7844	1.12697	0.248337	0	0	0	0	0	0	0	0
0.00625943	195.788	26.6091	1.14173	0.25035	0	0	0	0	0	0	0	0
0.00633484	195.96	26.4363	1.1565	0.25235	0	0	0	0	0	0	0	0
0.00641026	196.131	26.2661	1.17128	0.254337	0	0	0	0	0	0	0	0
0.00648567	196.298	26.0983	1.18608	0.256312	0	0	0	0	0	0	0	0
0.00656109	196.464	25.9328	1.20089	0.258274	0	0	0	0	0	0	0	0
0.0066365	196.627	25.7697	1.21571	0.260223	0	0	0	0	0	0	0	0
0.00671192	196.788	25.6089	1.23055	0.262161	0	0	0	0	0	0	0	0
0.00678733	196.946	25.4503	1.24539	0.264086	0	0	0	0	0	0	0	0
0.00686275	197.103	25.2939	1.26025	0.265999	0	0	0	0	0	0	0	0
0.00693816	197.257	25.1396	1.27512	0.267901	0	0	0	0	0	0	0	0
0.00701357	197.409	24.9873	1.29	0.269791	0	0	0	0	0	0	0	0
0.00708899	197.559	24.8371	1.3049	0.27167	0	0	0	0	0	0	0	0
0.0071644	197.708	24.689	1.3198	0.273538	0	0	0	0	0	0	0	0
0.00723982	197.854	24.5427	1.33472	0.275394	0	0	0	0	0	0	0	0
0.00731523	197.998	24.3984	1.34964	0.277239	0	0	0	0	0	0	0	0
0.00739065	198.141	24.2559	1.36458	0.279074	0	0	0	0	0	0	0	0
0.00746606	198.281	24.1153	1.37953	0.280898	0	0	0	0	0	0	0	0
0.00754148	198.42	23.9765	1.39449	0.282711	0	0	0	0	0	0	0	0
0.00761689	198.557	23.8394	1.40946	0.284514	0	0	0	0	0	0	0	0
0.00769231	198.693	23.704	1.42444	0.286307	0	0	0	0	0	0	0	0
0.00776772	198.826	23.5704	1.43943	0.28809	0	0	0	0	0	0	0	0
0.00784314	198.958	23.4384	1.45443	0.289862	0	0	0	0	0	0	0	0
0.00791855	199.089	23.308	1.46943	0.291625	0	0	0	0	0	0	0	0
0.00799397	199.217	23.1792	1.48445	0.293378	0	0	0	0	0	0	0	0
0.00806938	199.345	23.052	1.49948	0.295121	0	0	0	0	0	0	0	0
0.0081448	199.47	22.9263	1.51452	0.296855	0	0	0	0	0	0	0	0
0.00822021	199.595	22.8021	1.52957	0.298579	0	0	0	0	0	0	0	0
0.00829563	199.717	22.6793	1.54463	0.300294	0	0	0	0	0	0	0	0
0.00837104	199.839	22.5581	1.55969	0.302	0	0	0	0	0	0	0	0
0.00844646	199.958	22.4382	1.57477	0.303696	0	0	0	0	0	0	0	0
0.00852187	200.077	22.3197	1.58985	0.305384	0	0	0	0	0	0	0	0
0.00859729	200.194	22.2026	1.60494	0.307063	0	0	0	0	0	0	0	0
0.0086727	200.31	22.0868	1.62005	0.308733	0	0	0	0	0	0	0	0
0.00874811	200.424	21.9724	1.63516	0.310394	0	0	0	0	0	0	0	0
0.00882353	200.537	21.8592	1.65028	0.312047	0	0	0	0	0	0	0	0
0.00889894	200.649	21.7473	1.6654	0.313691	0	0	0	0	0	0	0	0
0.00897436	200.76	21.6367	1.68054	0.315327	0	0	0	0	0	0	0	0
0.00904977	200.869	21.5272	1.69568	0.316955	0	0	0	0	0	0	0	0
0.00912519	200.978	21.419	1.71084	0.318574	0	0	0	0	0	0	0	0
0.0092006	201.085	21.312	1.726	0.320186	0	0	0	0	0	0	0	0
0.00927602	201.191	21.2061	1.74117	0.321789	0	0	0	0	0	0	0	0
0.00935143	201.295	21.1014	1.75634	0.323384	0	0	0	0	0	0	0	0
0.00942685	201.399	20.9977	1.77153	0.324971	0	0	0	0	0	0	0	0
0.00950226	201.501	20.8952	1.78672	0.326551	0	0	0	0	0	0	0	0
0.00957768	201.603	20.7938	1.80192	0.328123	0	0	0	0	0	0	0	0
0.00965309	201.703	20.6934	1.81713	0.329688	0	0	0	0	0	0	0	0
0.00972851	201.803	20.5941	1.83234	0.331244	0	0	0	0	0	0	0	0
0.00980392	201.901	20.4958	1.84757	0.332794	0	0	0	0	0	0	0	0
0.00987934	201.998	20.3985	1.8628	0.334336	0	0	0	0	0	0	0	0
0.00995475	202.094	20.3022	1.87803	0.33587	0	0	0	0	0	0	0	0
0.0100302	202.19	20.2069	1.89328	0.337398	0	0	0	0	0	0	0	0
0.0101056	202.284	20.1126	1.90853	0.338918	0	0	0	0	0	0	0	0
0.010181	202.377	20.0192	1.92379	0.340432	0	0	0	0	0	0	0	0
0.0102564	202.47	19.9267	1.93905	0.341938	0	0	0	0	0	0	0	0
0.0103318	202.561	19.8352	1.95433	0.343437	0	0	0	0	0	0	0	0
0.0104072	202.652	19.7445	1.96961	0.34493	0	0	0	0	0	0	0	0
0.0104827	202.742	19.6548	1.98489	0.346415	0	0	0	0	0	0	0	0
0.0105581	202.831	19.5659	2.00018	0.347894	0	0	0	0	0	0	0	0
0.0106335	202.919	19.4779	2.01548	0.349366	0	0	0	0	0	0	0	0
0.0107089	203.006	19.3907	2.03079	0.350832	0	0	0	0	0	0	0	0
0.0107843	203.092	19.3044	2.0461	0.352291	0	0	0	0	0	0	0	0
0.0108597	203.178	19.2189	2.06142	0.353744	0	0	0	0	0	0	0	0
0.0109351	203.262	19.1342	2.07675	0.35519	0	0	0	0	0	0	0	0
0.0110106	203.346	19.0503	2.09208	0.35663	0	0	0	0	0	0	0	0
0.011086	203.429	18.9672	2.10742	0.358063	0	0	0	0	0	0	0	0
0.0111614	203.512	18.8848	2.12276	0.35949	0	0	0	0	0	0	0	0
0.0112368	203.593	18.8033	2.13812	0.360912	0	0	0	0	0	0	0	0
0.0113122	203.674	18.7224	2.15347	0.362327	0	0	0	0	0	0	0	0
0.0113876	203.754	18.6423	2.16884	0.363736	0	0	0	0	0	0	0	0
0.011463	203.834	18.563	2.1842	0.365138	0	0	0	0	0	0	0	0
0.0115385	203.912	18.4844	2.19958	0.366535	0	0	0	0	0	0	0	0
0.0116139	203.99	18.4064	2.21496	0.367926	0	0	0	0	0	0	0	0
0.0116893	204.067	18.3292	2.23035	0.369312	0	0	0	0	0	0	0	0
0.0117647	204.144	18.2527	2.24574	0.370691	0	0	0	0	0	0	0	0
0.0118401	204.22	18.1768	2.26114	0.372065	0	0	0	0	0	0	0	0
0.0119155	204.295	18.1016	2.27654	0.373433	0	0	0	0	0	0	0	0
0.011991	204.37	18.0271	2.29195	0.374795	0	0	0	0	0	0	0	0
0.0120664	204.443	17.9532	2.30737	0.376152	0	0	0	0	0	0	0	0
0.0121418	204.517	17.8799	2.32279	0.377503	0	0	0	0	0	0	0	0
0.0122172	204.589	17.8073	2.33821	0.378849	0	0	0	0	0	0	0	0
0.0122926	204.661	17.7354	2.35365	0.380189	0	0	0	0	0	0	0	0
0.012368	204.733	17.664	2.36908	0.381524	0	0	0	0	0	0	0	0
