t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
0.0	0.0	134.722	0.0	0.0	0	0	0	0	0	0	0	0
1.0000002652000044e-11	3.65769	131.064	0.000139727	0.0100203	0	0	0	0	0	0	0	0
2.0000058344001004e-11	7.05104	127.671	0.000545052	0.0197749	0	0	0	0	0	0	0	0
2.999995491599923e-11	10.2186	124.503	0.00119756	0.0292824	0	0	0	0	0	0	0	0
3.999998408799973e-11	13.1895	121.532	0.00208138	0.0385586	0	0	0	0	0	0	0	0
5.000001326000023e-11	15.987	118.735	0.00318257	0.0476174	0	0	0	0	0	0	0	0
6.000004243200073e-11	18.6294	116.092	0.00448879	0.0564712	0	0	0	0	0	0	0	0
6.999993900399895e-11	21.1324	113.589	0.00598894	0.065131	0	0	0	0	0	0	0	0
7.999996817599945e-11	23.5089	111.213	0.007673	0.073607	0	0	0	0	0	0	0	0
8.999999734799997e-11	25.7699	108.952	0.00953187	0.0819081	0	0	0	0	0	0	0	0
1.0000002652000045e-10	27.9251	106.796	0.0115572	0.0900428	0	0	0	0	0	0	0	0
1.1000005569200095e-10	29.9829	104.739	0.0137414	0.0980186	0	0	0	0	0	0	0	0
1.1999995226399916e-10	31.9508	102.771	0.0160773	0.105843	0	0	0	0	0	0	0	0
1.299999814359997e-10	33.8351	100.886	0.0185584	0.113522	0	0	0	0	0	0	0	0
1.40000408408007e-10	35.6419	99.0796	0.0211786	0.121061	0	0	0	0	0	0	0	0
1.4999977457999613e-10	37.3764	97.3452	0.0239324	0.128468	0	0	0	0	0	0	0	0
1.6000046675200803e-10	39.0432	95.6783	0.0268144	0.135746	0	0	0	0	0	0	0	0
1.6999983292399713e-10	40.6468	94.0748	0.0298197	0.1429	0	0	0	0	0	0	0	0
1.8000052509600903e-10	42.191	92.5306	0.0329436	0.149936	0	0	0	0	0	0	0	0
1.8999989126799815e-10	43.6793	91.0423	0.0361819	0.156858	0	0	0	0	0	0	0	0
2.0000058344001003e-10	45.115	89.6065	0.0395305	0.163669	0	0	0	0	0	0	0	0
2.0999994961199913e-10	46.5012	88.2204	0.0429854	0.170375	0	0	0	0	0	0	0	0
2.2000064178401103e-10	47.8405	86.8811	0.046543	0.176977	0	0	0	0	0	0	0	0
2.3000000795600013e-10	49.1354	85.5861	0.0502	0.18348	0	0	0	0	0	0	0	0
