t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
0.0	0.0	134.722	0.0	0.0	0	0	0	0	0	0	0	0
100000.02652000045	3.65769	131.064	0.000139727	0.0100203	0	0	0	0	0	0	0	0
200000.58344001003	7.05104	127.671	0.000545052	0.0197749	0	0	0	0	0	0	0	0
299999.54915999225	10.2186	124.503	0.00119756	0.0292824	0	0	0	0	0	0	0	0
399999.84087999724	13.1895	121.532	0.00208138	0.0385586	0	0	0	0	0	0	0	0
500000.1326000023	15.987	118.735	0.00318257	0.0476174	0	0	0	0	0	0	0	0
600000.4243200073	18.6294	116.092	0.00448879	0.0564712	0	0	0	0	0	0	0	0
699999.3900399896	21.1324	113.589	0.00598894	0.065131	0	0	0	0	0	0	0	0
799999.6817599945	23.5089	111.213	0.007673	0.073607	0	0	0	0	0	0	0	0
899999.9734799997	25.7699	108.952	0.00953187	0.0819081	0	0	0	0	0	0	0	0
1000000.2652000046	27.9251	106.796	0.0115572	0.0900428	0	0	0	0	0	0	0	0
1100000.5569200094	29.9829	104.739	0.0137414	0.0980186	0	0	0	0	0	0	0	0
1199999.5226399915	31.9508	102.771	0.0160773	0.105843	0	0	0	0	0	0	0	0
1299999.814359997	33.8351	100.886	0.0185584	0.113522	0	0	0	0	0	0	0	0
1400004.08408007	35.6419	99.0796	0.0211786	0.121061	0	0	0	0	0	0	0	0
1499997.7457999613	37.3764	97.3452	0.0239324	0.128468	0	0	0	0	0	0	0	0
1600004.6675200802	39.0432	95.6783	0.0268144	0.135746	0	0	0	0	0	0	0	0
1699998.3292399712	40.6468	94.0748	0.0298197	0.1429	0	0	0	0	0	0	0	0
1800005.2509600902	42.191	92.5306	0.0329436	0.149936	0	0	0	0	0	0	0	0
1899998.9126799814	43.6793	91.0423	0.0361819	0.156858	0	0	0	0	0	0	0	0
2000005.8344001002	45.115	89.6065	0.0395305	0.163669	0	0	0	0	0	0	0	0
2099999.4961199914	46.5012	88.2204	0.0429854	0.170375	0	0	0	0	0	0	0	0
2200006.41784011	47.8405	86.8811	0.046543	0.176977	0	0	0	0	0	0	0	0
2300000.0795600014	49.1354	85.5861	0.0502	0.18348	0	0	0	0	0	0	0	0
2399993.7412798926	50.3884	84.3332	0.053953	0.189887	0	0	0	0	0	0	0	0
2500000.6630000114	51.6016	83.12	0.0577991	0.196201	0	0	0	0	0	0	0	0
2599994.3247199026	52.7769	81.9446	0.0617351	0.202425	0	0	0	0	0	0	0	0
2700001.246440022	53.9163	80.8052	0.0657585	0.208561	0	0	0	0	0	0	0	0
2799994.908159912	55.0216	79.7	0.0698665	0.214613	0	0	0	0	0	0	0	0
2900001.8298800313	56.0942	78.6273	0.0740565	0.220583	0	0	0	0	0	0	0	0
2999995.4915999225	57.1358	77.5858	0.0783263	0.226474	0	0	0	0	0	0	0	0
3100002.4133200417	58.1478	76.5738	0.0826736	0.232286	0	0	0	0	0	0	0	0
3199996.0750399325	59.1314	75.5902	0.087096	0.238024	0	0	0	0	0	0	0	0
3300002.996760051	60.088	74.6336	0.0915916	0.243688	0	0	0	0	0	0	0	0
3399996.6584799425	61.0186	73.7029	0.0961584	0.249281	0	0	0	0	0	0	0	0
3500003.580200061	61.9245	72.7971	0.100794	0.254805	0	0	0	0	0	0	0	0
3599997.241919953	62.8066	71.9149	0.105498	0.260262	0	0	0	0	0	0	0	0
3700004.163640072	63.6659	71.0556	0.110267	0.265653	0	0	0	0	0	0	0	0
3799997.825359963	64.5034	70.2182	0.1151	0.27098	0	0	0	0	0	0	0	0
3900004.747080081	65.3199	69.4017	0.119995	0.276244	0	0	0	0	0	0	0	0
3999998.408799973	66.1162	68.6054	0.124952	0.281448	0	0	0	0	0	0	0	0
4100005.330520092	66.8931	67.8285	0.129967	0.286593	0	0	0	0	0	0	0	0
