r	c
0.001	0.06396035118452939
0.002	0.25517601784516586
0.003	0.5716594869216926
0.004	1.0101269222631066
0.005	1.566040706545414
0.006	2.2336680366803656
0.007	3.00615463193073
0.008	3.8756123767074953
0.009000000000000001	4.833219505459388
0.01	5.8693317491449335
0.011	6.973602704874053
0.012	8.135111565123482
0.013000000000000001	9.34249625245058
0.014	10.58408995107841
0.015	11.848059008553774
0.016	13.122540198571093
0.017	14.395775388941695
0.018000000000000002	15.65624174479413
0.019	16.89277571398583
0.02	18.094689186376296
0.021	19.251876387540943
0.022	20.354910256770697
0.023	21.395127264571112
0.024	22.36469984191126
0.025	23.25669581764202
0.026000000000000002	24.065124487276783
0.027	24.7849691612872
0.028	25.412206259993578
0.029	25.943811231098763
0.03	26.37775176136236
0.031	26.712968932709128
0.032	26.949347132558994
0.033	27.087673666226525
0.034	27.12958913427251
0.035	27.077529728662643
0.036000000000000004	26.93466266800468
0.037	26.704816034033563
0.038	26.392404289432058
0.039	26.002350752011907
0.04	25.540008273649647
0.041	25.011079325943594
0.042	24.421536630403022
0.043000000000000003	23.777545391399016
0.044	23.085388097572327
0.045	22.35139275447916
0.046	21.581865300578944
0.047	20.783026842820767
0.048	19.960956229588895
0.049	19.121538360014306
0.05	18.270418511874773
0.051000000000000004	17.412962857509108
0.052000000000000005	16.554225230148944
0.053	15.698920103354178
0.054	14.85140165508952
0.055	14.01564870638894
0.056	13.195255253236617
0.057	12.393426249698663
0.058	11.612978250664185
0.059000000000000004	10.856344483758862
0.06	10.125583891825089
0.061	9.4223936693769
0.062	8.74812480803032
0.063	8.103800166339003
0.064	7.490134587886039
0.065	6.907556606971116
0.066	6.3562313028140975
0.067	5.836083889873027
0.068	5.3468236626483
0.069	4.8879679472370725
0.07	4.458865747975256
0.07100000000000001	4.058720814876499
0.07200000000000001	3.686613895434392
0.073	3.341523971961175
0.074	3.022348322343611
0.075	2.727921277345167
0.076	2.457031580905489
0.077	2.2084382909067437
0.078	1.9808851863042645
0.079	1.7731136721520981
0.08	1.5838741967686034
0.081	1.4119362150296224
0.082	1.256096748559125
0.083	1.1151876074767728
0.084	0.9880813494742016
0.085	0.8736960604814995
0.08600000000000001	0.7709990472380974
0.08700000000000001	0.679009535906742
0.088	0.5968004726901536
0.089	0.5234995224605452
0.09	0.4582893599289878
0.091	0.40040734509837006
0.092	0.34914467088740786
0.093	0.30384506609985645
0.094	0.2639031315451858
0.095	0.2287623812807531
0.096	0.1979130548097415
0.097	0.17088975978384055
0.098	0.14726899845602592
0.099	0.12666662491899272
0.1	0.10873527414257772
0.101	0.09316179806500627
0.10200000000000001	0.07966473855760506
0.10300000000000001	0.06799186201515202
0.10400000000000001	0.05791777565480141
0.105	0.04924164135387663
0.106	0.04178499902827736
0.107	0.03538970814720174
0.108	0.029916012986993385
0.109	0.02524073463164074
0.11	0.021255590509257363
0.111	0.017865640388574466
0.112	0.014987856220296756
0.113	0.01254981196669369
0.114	0.010488488589865683
0.115	0.008749188635515916
0.116	0.0072845543261201556
0.117	0.006053682737498837
0.11800000000000001	0.0050213314497573325
0.11900000000000001	0.00415720801286478
0.12	0.0034353366261787154
0.121	0.0028334955793842902
0.122	0.0023327192210640083
0.123	0.0019168584939651873
0.124	0.0015721943885240268
0.125	0.0012870990058083565
0.126	0.0010517392770539142
0.127	0.0008578187503894888
0.128	0.0006983532187329861
0.129	0.0005674763201639713
0.13	0.00046027158857278507
0.131	0.0003726277644009202
0.132	0.00030111449014281355
0.133	0.00024287581113147862
0.134	0.00019553917784344762
0.135	0.00015713790098622062
0.136	0.00012604524491154423
0.137	0.000100918558755573
0.138	8.065203877078919e-05
0.139	6.43368904418725e-05
0.14	5.122781619140822e-05
0.14100000000000001	4.071489491535429e-05
0.14200000000000002	3.230004444256993e-05
0.14300000000000002	2.5577368515915597e-05
0.14400000000000002	2.021678727174236e-05
0.145	1.5950435652016918e-05
0.146	1.2561388877844023e-05
0.147	9.874339147106302e-06
0.148	7.747904128955726e-06
0.149	6.06829657889117e-06
0.15	4.744126380303513e-06
0.151	3.7021423462456812e-06
0.152	2.8837519286800344e-06
0.153	2.2421832490927493e-06
0.154	1.740176182568068e-06
0.155	1.3481081305230826e-06
0.156	1.0424760780129795e-06
0.157	8.046699665943918e-07
0.158	6.199836888121131e-07
0.159	4.7681944470566066e-07
0.16	3.660490718130393e-07
0.161	2.8050250813312133e-07
0.162	2.1455897936021748e-07
0.163	1.6382099506715823e-07
0.164	1.2485494526421486e-07
