dmk	C_S	C_E	CE/CS	CS_eff
20.0	298.9774069772375	1.3777243251799804	0.1368722787783807	10.06576596427351
10.0	362.5703217814816	7.421868469315422	0.6080125503373559	12.206768536599116
5.0	381.4795150342821	14.988826880581716	1.1670459723054372	12.843390265913936
4.5	382.7169312438094	16.367027138772528	1.2702338130344757	12.885050744849218
4.0	383.8152801198388	17.576580741493515	1.360202834168384	12.922029200328552
3.5	384.6496075102188	18.560271765107064	1.4332124752298632	12.950118761790925
3.0	385.6033825204247	20.415430700615858	1.5725673485497842	12.98222980366653
2.5	385.7497280107893	21.76661803233086	1.676011020869524	12.987156863108344
2.0	386.4050697998066	23.48520088903879	1.80527349511224	13.009220460292992
1.5	386.8742514761435	25.03022997355593	1.921704274528058	13.025016546681194
1.0	387.32766006615566	25.656518501716263	1.9674819376835035	13.040281595633877
0.5	386.84637461990974	23.52072503854396	1.8059416585492605	13.024078007834712
0.4	386.8320376067098	22.10480085258683	1.6972886757414911	13.02359531912269
0.3	386.9171839322384	20.512948205580184	1.5747137064042367	13.026461967121795
0.2	386.9222379290034	18.256245717337418	1.4014555371566455	13.026632121613183
0.1	386.96947272518577	14.933510877189674	1.146243165784921	13.02822239028448
-0.1	387.2372589659439	3.304750069523092	0.2534854438519703	13.037238033490354
-0.2	387.2323044998541	2.340716733286495	0.1795431421677656	13.037071229929369
-0.3	387.201841300572	2.709592528395405	0.2078538698191174	13.036045615861749
-0.4	387.1887057011948	3.0499939309982658	0.2339741278662079	13.035603375525035
-0.5	387.3767972646909	3.3065365732522527	0.2535311164913688	13.04193591308079
-1.0	387.2389982040105	4.090592626325034	0.3137608014370138	13.037296588962862
-1.5	387.56766824149344	4.395861108004334	0.3368898792998162	13.048362026014512
-2.0	387.11693720909966	4.410727475456242	0.3384227843697456	13.033187123232453
-2.5	387.3327175290118	4.2853543638390015	0.3286200821570352	13.04045186681924
-3.0	387.4555974537329	4.064940320645848	0.3116188904571677	13.044588903715958
-3.5	387.09930299834167	3.78546650619478	0.290461490069078	13.032593426737963
-4.0	387.2638872282431	3.447142718790063	0.2643892582482005	13.038134535533933
-4.5	386.9397681416871	3.1497194554681007	0.2417798191263676	13.027222316771947
-5.0	387.55982421676725	2.816808529850196	0.2158788616598892	13.048097938778255
-10.0	385.85641451220494	0.679486171450636	0.0523053895175221	12.990748710952817
-20.0	383.25167912332046	0.0190287381455305	0.0014747468117731	12.90305426912709
