dmk	H	He	Fe	O	N	Si		All
-300	16.084655721178564	317.43777039338067	1.1619125763283749	101.868101045098	22.891912858278914	9.4554972089351832	468.9
-200	12.53	280.3	3.33	117.6	25.58	15.69		455
-100	8.1	225.3	17.13	132.56	27.58	25.156	435.9
-50	5.431	186.71	37.03780	138.2465	28.217	31.342	426.99
-20	3.459	154.996	58.1173	140.1933	28.3595	35.671	420.796
0	1.76	127.59	77.21	140.4	28.0	38.840	413.774
20	0.02380	74.377	94.7986	136.68	27.31	41.060	374.25594438472274
50	0.0	2.85	109.5	114.57	23.15	41.19	291.3
100	0.0	0.0	108.05	41.228	8.795	31.60	189.68
200	0	0	52.1	0.0106	0.00033054	3.33240	55.46
300	0	0	8.0211163603803026	0	0	0.0016679213768239379	8.0227
